Algorithm,param1,param2,Classifier,Centroids,Accuracy,Precision,Recall,F1
Local DISSFCM,4,10.0,Majority Vote,6.454545454545454,0.9204545454545454,0.9378787878787879,0.9204545454545454,0.9178210678210679
Local DISSFCM,8,10.0,Majority Vote,11.545454545454545,0.9886363636363636,0.9924242424242423,0.9886363636363636,0.9878787878787879
Local DISSFCM,12,10.0,Majority Vote,15.181818181818182,0.9829545454545454,0.9902597402597402,0.9829545454545454,0.9801652892561983
