Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
FingerMovements,FCM,Min Move,14,0.42168674698795183,0.3852845592897908,0.42168674698795183,0.37567629006592407,14
FingerMovements,KNN,Majority Vote,0,0.5060240963855421,0.5053832350679313,0.5060240963855421,0.5038616453263807,4
FingerMovements,Local DISSFCM,Turn Vote,21,0.4819277108433735,0.4813781441555696,0.4819277108433735,0.4810231760740036,4,1
FingerMovements,Local DISSFCM,Majority Vote,21,0.4939759036144578,0.49332464995115605,0.4939759036144578,0.49250147442918524,4,1
FingerMovements,Local DISSFCM,Min Move,11,0.42168674698795183,0.42027097815468695,0.42168674698795183,0.42000168506192603,4,0.01
FingerMovements,Local IFCM,Turn Vote,16,0.5662650602409639,0.5755712505193186,0.5662650602409639,0.5483899233296824,16
FingerMovements,Local IFCM,Majority Vote,16,0.6265060240963856,0.6348412517996515,0.6265060240963856,0.6191967276072414,16
FingerMovements,Local IFCM,Min Move,2,0.5783132530120482,0.5783555273726485,0.5783132530120482,0.5775770037811656,2
FingerMovements,FCM,Turn Vote,14,0.6024096385542169,0.6045864128784044,0.6024096385542169,0.5991473586654309,14
FingerMovements,FCM,Majority Vote,14,0.6024096385542169,0.6045864128784044,0.6024096385542169,0.5991473586654309,14
FingerMovements,FCM,Min Move,2,0.5180722891566265,0.5178876425241196,0.5180722891566265,0.5068846815834768,2
FingerMovements,KNN,Majority Vote,0,0.5421686746987951,0.5420270978154688,0.5421686746987951,0.5408346673406913,15
FingerMovements,Local DISSFCM,Turn Vote,22,0.5662650602409639,0.5706965794211328,0.5662650602409639,0.5561962134251291,2,10
FingerMovements,Local DISSFCM,Majority Vote,22,0.5783132530120482,0.5917653665509496,0.5783132530120482,0.5586580900907514,2,10
FingerMovements,Local DISSFCM,Min Move,4,0.5060240963855421,0.5047738122300522,0.5060240963855421,0.49635696231925486,4,0.01
FingerMovements,Local IFCM,Turn Vote,20,0.5060240963855421,0.5064874884151993,0.5060240963855421,0.5055936162952464,20
FingerMovements,Local IFCM,Majority Vote,20,0.5903614457831325,0.6089051859612362,0.5903614457831325,0.5689006024096386,20
FingerMovements,Local IFCM,Min Move,2,0.4578313253012048,0.45260490236809303,0.4578313253012048,0.43559856794886465,2
FingerMovements,FCM,Turn Vote,4,0.5783132530120482,0.5797306874557052,0.5783132530120482,0.5748532591906085,6
FingerMovements,FCM,Majority Vote,4,0.5783132530120482,0.5797306874557052,0.5783132530120482,0.5748532591906085,6
FingerMovements,FCM,Min Move,18,0.4939759036144578,0.46471600688468157,0.4939759036144578,0.3876608127424954,18
FingerMovements,KNN,Majority Vote,0,0.5662650602409639,0.566378321747625,0.5662650602409639,0.5650012637964444,4
FingerMovements,Local DISSFCM,Turn Vote,25,0.46987951807228917,0.4648519562602122,0.46987951807228917,0.43902078903850694,4,0.01
FingerMovements,Local DISSFCM,Majority Vote,25,0.46987951807228917,0.4648519562602122,0.46987951807228917,0.43902078903850694,4,0.01
FingerMovements,Local DISSFCM,Min Move,4,0.5783132530120482,0.5783555273726485,0.5783132530120482,0.5775770037811656,4,10
FingerMovements,Local IFCM,Turn Vote,6,0.5421686746987951,0.5420270978154688,0.5421686746987951,0.5408346673406914,6
FingerMovements,Local IFCM,Majority Vote,6,0.5662650602409639,0.5677838627236218,0.5662650602409639,0.5616779692211856,6
FingerMovements,Local IFCM,Min Move,2,0.43373493975903615,0.432026286966046,0.43373493975903615,0.4277611545081425,2
FingerMovements,FCM,Turn Vote,6,0.5421686746987951,0.5420001685061926,0.5421686746987951,0.541769403194172,6
FingerMovements,FCM,Majority Vote,6,0.5180722891566265,0.5176758738833124,0.5180722891566265,0.5166680708849384,6
FingerMovements,FCM,Min Move,18,0.5060240963855421,0.5049610205527995,0.5060240963855421,0.49947558683696336,18
FingerMovements,KNN,Majority Vote,0,0.5662650602409639,0.5706965794211328,0.5662650602409639,0.556196213425129,10
FingerMovements,Local DISSFCM,Turn Vote,16,0.5180722891566265,0.517698585906903,0.5180722891566265,0.5102395397191605,4,10
FingerMovements,Local DISSFCM,Majority Vote,16,0.5301204819277109,0.530787300143972,0.5301204819277109,0.5209249153768521,4,10
FingerMovements,Local DISSFCM,Min Move,4,0.4939759036144578,0.4956668780384696,0.4939759036144578,0.47575174648172525,4,10
FingerMovements,Local IFCM,Turn Vote,8,0.5542168674698795,0.5694779116465862,0.5542168674698795,0.5220620185660675,8
FingerMovements,Local IFCM,Majority Vote,8,0.5662650602409639,0.5706965794211328,0.5662650602409639,0.556196213425129,8
FingerMovements,Local IFCM,Min Move,4,0.5542168674698795,0.5806284840855961,0.5542168674698795,0.5075793274498283,4
FingerMovements,FCM,Turn Vote,12,0.4819277108433735,0.4823387844180693,0.4819277108433735,0.47353355090711935,12
FingerMovements,FCM,Majority Vote,12,0.46987951807228917,0.4691520800181859,0.46987951807228917,0.45954028881483383,12
FingerMovements,FCM,Min Move,4,0.5421686746987951,0.6363855421686747,0.5421686746987951,0.4536019941836311,4
FingerMovements,KNN,Majority Vote,0,0.6265060240963856,0.6264710002801905,0.6265060240963856,0.6263975291142784,3
FingerMovements,Local DISSFCM,Turn Vote,28,0.5301204819277109,0.5441119315973572,0.5301204819277109,0.49970756813662415,4,1
FingerMovements,Local DISSFCM,Majority Vote,28,0.4939759036144578,0.49533984996590136,0.4939759036144578,0.48410663932325043,4,1
FingerMovements,Local DISSFCM,Min Move,4,0.5542168674698795,0.5548908922402899,0.5542168674698795,0.5538283854371734,4,10
FingerMovements,Local IFCM,Turn Vote,6,0.5542168674698795,0.5541111815683788,0.5542168674698795,0.5534385468543751,6
FingerMovements,Local IFCM,Majority Vote,6,0.6385542168674698,0.6524664696521936,0.6385542168674698,0.6315047423737503,6
FingerMovements,Local IFCM,Min Move,12,0.5421686746987951,0.5420001685061926,0.5421686746987951,0.541769403194172,12
FingerMovements,FCM,Turn Vote,18,0.39759036144578314,0.37155477349038474,0.39759036144578314,0.3625236239073943,18
FingerMovements,FCM,Majority Vote,18,0.3855421686746988,0.3517294986397202,0.3855421686746988,0.3457714352555854,18
FingerMovements,FCM,Min Move,2,0.3855421686746988,0.3663315330286664,0.3855421686746988,0.36034504367537984,2
FingerMovements,KNN,Majority Vote,0,0.5060240963855421,0.5068381634646695,0.5060240963855421,0.5045866574109621,3
FingerMovements,Local DISSFCM,Turn Vote,28,0.43373493975903615,0.4288846562721474,0.43373493975903615,0.4262281117399337,6,0.01
FingerMovements,Local DISSFCM,Majority Vote,28,0.43373493975903615,0.43059633491951,0.43373493975903615,0.42908866234167437,6,0.01
FingerMovements,Local DISSFCM,Min Move,8,0.5060240963855421,0.2560603861228044,0.5060240963855421,0.3400481927710843,2,10
FingerMovements,Local IFCM,Turn Vote,18,0.4457831325301205,0.44070076833388144,0.4457831325301205,0.4367754706770344,18
FingerMovements,Local IFCM,Majority Vote,18,0.6265060240963856,0.6317549610205528,0.6265060240963856,0.6215547119986796,18
FingerMovements,Local IFCM,Min Move,14,0.4578313253012048,0.40231195050472157,0.4578313253012048,0.3602132314423936,14
