Dataset,Algorithm,Classifier,Centroids,Accuracy,Precision,Recall,F1,n_clusters
RacketSports,FCM,Majority Vote,40,0.47540983606557374,0.5064739293116908,0.47540983606557374,0.4508672835656221,40
RacketSports,FCM,Min Move,40,0.3770491803278688,0.4169819251786465,0.3770491803278688,0.37201573393631054,40
RacketSports,KNN,Majority Vote,0,0.819672131147541,0.8330849478390462,0.819672131147541,0.8192184257758028,3
RacketSports,KNN,Majority Vote,0,0.819672131147541,0.8356681569796323,0.819672131147541,0.8175494710260114,4
RacketSports,KNN,Majority Vote,0,0.8360655737704918,0.8346864428831642,0.8360655737704918,0.8340843629707394,5
RacketSports,KNN,Majority Vote,0,0.8032786885245902,0.8231884057971015,0.8032786885245902,0.7990963394581259,6
RacketSports,KNN,Majority Vote,0,0.8360655737704918,0.8404864620567812,0.8360655737704918,0.8362267864246383,7
RacketSports,KNN,Majority Vote,0,0.9016393442622951,0.9058516404504325,0.9016393442622951,0.9004145468249483,8
RacketSports,KNN,Majority Vote,0,0.8524590163934426,0.8579694172751068,0.8524590163934426,0.8507212082040214,9
RacketSports,KNN,Majority Vote,0,0.8852459016393442,0.8896898103503696,0.8852459016393442,0.8847580333566584,10
RacketSports,KNN,Majority Vote,0,0.819672131147541,0.8251859156086939,0.819672131147541,0.8203986349266169,11
RacketSports,KNN,Majority Vote,0,0.7868852459016393,0.7926711668273867,0.7868852459016393,0.7893139040680025,12
RacketSports,KNN,Majority Vote,0,0.7868852459016393,0.7890710382513662,0.7868852459016393,0.7874296003182379,13
RacketSports,KNN,Majority Vote,0,0.7377049180327869,0.7431063472047079,0.7377049180327869,0.737195080892085,14
RacketSports,KNN,Majority Vote,0,0.7540983606557377,0.758379555445992,0.7540983606557377,0.7544605657098591,15
RacketSports,Local DISSFCM,Turn Vote,44,0.6065573770491803,0.6204251486218699,0.6065573770491803,0.5833675313361699,4,0.01
RacketSports,Local DISSFCM,Majority Vote,38,0.6557377049180327,0.6883452430993414,0.6557377049180327,0.6569525541678809,4,0.01
RacketSports,Local DISSFCM,Min Move,4,0.6229508196721312,0.6908952105432337,0.6229508196721312,0.6226924183093296,4,0.01
RacketSports,Local DISSFCM,Turn Vote,49,0.639344262295082,0.7613114754098361,0.639344262295082,0.6313933036411105,4,0.1
RacketSports,Local DISSFCM,Majority Vote,55,0.6065573770491803,0.6418639951426837,0.6065573770491803,0.5913839115516584,4,0.1
RacketSports,Local DISSFCM,Min Move,4,0.5901639344262295,0.643921815889029,0.5901639344262295,0.5855430958762529,4,0.1
RacketSports,Local DISSFCM,Turn Vote,4,0.4918032786885246,0.532245716850136,0.4918032786885246,0.4556947566569805,4,1
RacketSports,Local DISSFCM,Majority Vote,4,0.4918032786885246,0.532245716850136,0.4918032786885246,0.4556947566569805,4,1
RacketSports,Local DISSFCM,Min Move,4,0.5737704918032787,0.6034177844013909,0.5737704918032787,0.5634422525321339,4,1
RacketSports,Local DISSFCM,Turn Vote,4,0.5245901639344263,0.5758693492300049,0.5245901639344263,0.4897731074546063,4,10
RacketSports,Local DISSFCM,Majority Vote,4,0.5245901639344263,0.5758693492300049,0.5245901639344263,0.4897731074546063,4,10
RacketSports,Local DISSFCM,Min Move,4,0.6557377049180327,0.7314689810350369,0.6557377049180327,0.6517963695747755,4,10
RacketSports,Local DISSFCM,Turn Vote,42,0.5409836065573771,0.5788613329596936,0.5409836065573771,0.5441683319752482,8,0.01
RacketSports,Local DISSFCM,Majority Vote,42,0.5573770491803278,0.6653365699021271,0.5573770491803278,0.5707250696559321,8,0.01
RacketSports,Local DISSFCM,Min Move,29,0.6229508196721312,0.6866655829404825,0.6229508196721312,0.6378090904106586,8,0.01
RacketSports,Local DISSFCM,Turn Vote,54,0.6065573770491803,0.600010508617066,0.6065573770491803,0.6020447734884541,8,0.1
RacketSports,Local DISSFCM,Majority Vote,54,0.6065573770491803,0.6262780061693932,0.6065573770491803,0.6062469822730094,8,0.1
RacketSports,Local DISSFCM,Min Move,35,0.5573770491803278,0.6742941712204007,0.5573770491803278,0.5742456640532194,8,0.1
